sex,,Feminino,Masculino,Total
month,Janeiro,55546,101633,157179
local,Escola,,,101725
body,M達o,,,
,0,,20,20
,1,20,20,40
,2,,450,450
,3,,20,20
,4,20,450,470
,5,,20,20
,6,20,500,520
,7,,450,450
,8,,20,20
,9,,450,450
,10,20,500,520
,11,20,500,520
,12,,20,20
,13,,500,500
,14,,4,4
,15,20,500,520
,17,20,20,40
,19,,450,450
,20,20,450,470
,23,,20,20
,24,,500,500
,25,20,,20
,27,,500,500
,28,,20,20
,29,,20,20
,30,,20,20
,32,,500,500
,33,20,,20
,35,20,,20
,36,20,,20
,37,,500,500
,38,,500,500
,39,,20,20
,40,,500,500
,41,20,500,520
,42,,20,20
,43,20,500,520
,44,20,20,40
,46,500,20,520
,47,,450,450
,48,20,500,520
,49,20,20,40
,50,,500,500
,51,20,20,40
,52,500,4,504
,53,20,500,520
,54,20,,20
,55,20,500,520
,56,20,500,520
,57,20,500,520
,58,,20,20
,59,,450,450
,60,,500,500
,62,,20,20
,63,,500,500
,64,20,,20
,65,,20,20
,66,500,500,1000
,67,,20,20
,68,450,450,900
,69,,450,450
,70,,500,500
,71,20,500,520
,72,500,500,1000
,73,20,500,520
,74,20,5,25
,75,20,4,24
,76,20,20,40
,77,20,450,470
,78,450,450,900
,79,500,,500
,80,450,4,454
,81,20,450,470
,82,20,4,24
,83,20,4,24
,84,4,20,24
,85,20,,20
,86,20,500,520
,87,,20,20
,89,500,20,520
,90,20,,20
,91,,20,20
,92,500,,500
,93,,20,20
,94,,20,20
,100,,20,20
body,Dedo,,,
,4,,20,20
,27,,20,20
,49,20,,20
,66,,20,20
,67,20,,20
body,Pe,,,
,2,20,450,470
,3,,500,500
,4,20,20,40
,5,500,5,505
,6,450,500,950
,7,20,,20
,8,450,20,470
,9,450,5,455
,10,20,6,26
,11,450,5,455
,12,500,7,507
,13,4,5,9
,14,20,7,27
,15,20,200,220
,16,5,30,35
,17,500,8,508
,18,20,4,24
,19,450,5,455
,20,5,500,505
,21,500,7,507
,22,500,5,505
,23,,4,4
,24,20,20,40
,25,20,7,27
,26,450,4,454
,27,,4,4
,28,500,5,505
,29,450,450,900
,30,20,6,26
,31,500,500,1000
,32,,20,20
,33,20,500,520
,34,20,5,25
,35,20,20,40
,36,500,500,1000
,37,500,500,1000
,38,500,,500
,39,500,450,950
,40,500,450,950
,41,500,5,505
,42,450,,450
,43,5,20,25
,44,450,5,455
,45,450,450,900
,46,20,450,470
,47,,500,500
,48,4,4,8
,49,500,4,504
,50,20,5,25
,51,4,500,504
,52,500,450,950
,53,6,4,10
,54,20,500,520
,55,20,,20
,56,20,450,470
,57,5,450,455
,58,,500,500
,59,7,450,457
,60,8,500,508
,61,450,,450
,62,450,500,950
,63,20,,20
,64,500,500,1000
,65,5,7,12
,66,5,500,505
,67,20,500,520
,68,450,500,950
,69,4,,4
,70,450,4,454
,71,7,20,27
,72,450,4,454
,73,450,4,454
,74,450,20,470
,75,4,450,454
,76,7,7,14
,77,450,450,900
,78,20,,20
,79,6,6,12
,80,4,500,504
,81,5,500,505
,82,,500,500
,83,500,500,1000
,84,20,500,520
,89,20,,20
,91,20,,20
,92,,20,20
,94,20,,20
body,Olho,,,
,3,20,20,40
,4,20,500,520
,8,20,450,470
,9,,20,20
,11,,500,500
,12,,20,20
,13,20,20,40
,14,20,5,25
,15,500,500,1000
,16,500,450,950
,17,,20,20
,18,500,5,505
,19,4,6,10
,20,,4,4
,21,,450,450
,22,4,,4
,23,500,20,520
,25,20,500,520
,26,500,4,504
,27,,20,20
,28,20,500,520
,29,,450,450
,30,,450,450
,31,20,,20
,32,,4,4
,34,500,20,520
,35,,500,500
,36,20,20,40
,37,,500,500
,38,4,450,454
,39,500,,500
,41,,500,500
,42,500,20,520
,43,20,,20
,44,,500,500
,45,,500,500
,46,500,450,950
,47,500,450,950
,48,20,450,470
,49,20,450,470
,50,20,500,520
,51,20,450,470
,52,450,500,950
,53,500,450,950
,54,20,500,520
,55,500,500,1000
,56,450,4,454
,57,4,20,24
,58,500,5,505
,59,500,20,520
,60,500,6,506
,61,500,5,505
,62,20,500,520
,63,,450,450
,64,500,5,505
,65,20,20,40
,66,450,7,457
,67,20,450,470
,68,4,450,454
,69,20,450,470
,70,450,5,455
,71,5,20,25
,72,20,20,40
,73,20,500,520
,74,20,450,470
,75,450,20,470
,76,20,20,40
,77,6,,6
,78,5,500,505
,79,500,500,1000
,80,,20,20
,81,450,500,950
,82,4,,4
,83,20,500,520
,84,20,20,40
,85,4,,4
,86,20,20,40
,87,20,500,520
,88,,500,500
,94,20,,20
,95,,20,20
body,Tronco,,,
,4,20,,20
,5,,20,20
,7,20,20,40
,12,,20,20
,14,20,,20
,15,,20,20
,16,20,20,40
,17,,500,500
,18,,20,20
,19,,20,20
,20,20,,20
,21,,20,20
,23,,20,20
,24,,500,500
,25,20,20,40
,27,500,500,1000
,28,,500,500
,29,20,,20
,30,,20,20
,31,,20,20
,34,,20,20
,37,,20,20
,39,20,20,40
,47,20,,20
,48,,20,20
,49,,500,500
,50,,20,20
,51,20,20,40
,52,,500,500
,53,,20,20
,54,,20,20
,55,20,20,40
,57,20,,20
,58,,20,20
,59,20,,20
,61,500,,500
,62,20,20,40
,65,,20,20
,66,20,500,520
,67,20,500,520
,69,20,20,40
,71,500,,500
,73,20,,20
,74,500,500,1000
,75,20,500,520
,76,,20,20
,77,20,500,520
,79,,20,20
,80,500,20,520
,81,,20,20
,83,,20,20
,84,,450,450
,85,450,,450
,86,500,,500
,87,,20,20
,89,20,,20
,91,20,20,40
local,Lar,,,6640
body,Pe,,,
,41,20,,20
body,Orelha,,,
,80,20,,20
body,Nariz,,,
,50,20,,20
body,Cabeca,,,
,1,20,,20
,2,20,20,40
,3,,20,20
,4,,500,500
,5,20,20,40
,24,20,,20
,30,20,,20
,38,20,,20
,40,20,,20
,43,20,20,40
,47,500,,500
,49,,20,20
,57,20,20,40
,58,20,,20
,59,,20,20
,62,,20,20
,63,20,,20
,65,20,,20
,71,,20,20
,72,20,,20
,73,,20,20
,74,,500,500
,76,20,20,40
,77,,20,20
,78,,20,20
,79,20,,20
,88,20,,20
body,Pe,,,
,8,20,,20
,9,20,,20
,11,20,,20
,16,500,,500
,22,20,,20
,25,,20,20
,33,20,,20
,34,20,,20
,42,20,,20
,43,20,,20
,45,,20,20
,46,,20,20
,48,20,,20
,49,20,,20
,54,20,,20
,56,500,,500
,58,20,,20
,60,20,,20
,61,20,,20
,63,,20,20
,64,,20,20
,65,,20,20
,68,20,,20
,69,20,,20
,70,20,500,520
,71,500,,500
,73,20,,20
,74,20,,20
,75,20,,20
,78,20,,20
,84,20,,20
,86,20,,20
,87,20,,20
body,Ouvido,,,
,23,,20,20
,42,20,,20
,43,,500,500
,44,,500,500
,55,20,,20
,58,20,,20
,59,,20,20
,61,,20,20
,62,20,,20
,63,,20,20
,64,20,,20
,68,,20,20
,70,,20,20
,72,,20,20
,82,20,,20
,83,20,,20
body,Perna,,,
,25,20,,20
,35,,20,20
,45,20,,20
,51,20,,20
,53,20,,20
,65,500,,500
,81,20,,20
local,Parque,,,7874
body,Pe,,,
,7,,20,20
,17,,20,20
body,Cabeca,,,
,1,,20,20
,2,,20,20
,3,,500,500
,4,,20,20
,5,20,,20
,6,20,,20
,7,,500,500
,9,,20,20
,15,,20,20
,17,,20,20
,25,20,,20
,29,,20,20
,33,,20,20
,39,,20,20
,53,,20,20
,58,,20,20
,63,20,,20
,70,,20,20
,72,,20,20
,74,,20,20
,77,,20,20
,81,,20,20
,82,20,,20
,84,20,,20
,87,,20,20
body,Pe,,,
,2,500,450,950
,3,500,,500
,6,,20,20
,8,20,,20
,9,500,20,520
,10,,20,20
,11,500,,500
,13,,4,4
,14,,450,450
,15,20,,20
,16,20,450,470
,17,20,20,40
,19,,20,20
,20,,20,20
,22,,20,20
,23,20,450,470
,25,,450,450
,29,,500,500
,31,20,,20
,32,,20,20
,33,,20,20
,34,,20,20
,37,,20,20
,42,,20,20
,45,20,,20
,46,,500,500
,48,20,20,40
,50,,20,20
,53,20,,20
,55,20,,20
,59,20,20,40
,66,20,,20
,71,20,,20
,83,20,,20
,84,20,,20
body,Olho,,,
,5,,20,20
,17,20,,20
,21,,20,20
,29,,20,20
,32,,20,20
,34,,20,20
,53,,20,20
,54,,20,20
,55,20,,20
,56,,20,20
,64,20,,20
,66,,20,20
,67,,20,20
,75,,20,20
,76,,20,20
,90,,20,20
,91,,20,20
body,Tronco,,,
,9,20,,20
,11,,20,20
,19,,20,20
,20,,20,20
,33,,20,20
,34,,20,20
,42,,20,20
,49,,20,20
,79,,20,20
local,Campo,,,22790
body,Cabeca,,,
,3,,20,20
,4,,20,20
,5,20,,20
,6,500,20,520
,9,,20,20
,10,500,,500
,11,500,20,520
,12,20,20,40
,13,,450,450
,15,20,500,520
,16,,450,450
,17,,20,20
,18,,4,4
,19,,20,20
,23,,500,500
,25,,20,20
,26,,20,20
,27,,500,500
,28,,20,20
,30,,500,500
,39,,20,20
,43,20,500,520
,45,,20,20
,51,20,,20
body,M達o,,,
,19,,20,20
,20,,20,20
body,Pe,,,
,6,20,20,40
,8,20,500,520
,9,,4,4
,10,500,9,509
,11,7,200,207
,12,450,6,456
,13,4,7,11
,14,6,8,14
,15,5,253,258
,16,6,8,14
,17,450,7,457
,18,20,7,27
,19,20,253,273
,20,,500,500
,21,,500,500
,22,20,5,25
,23,,5,5
,24,,6,6
,25,,5,5
,26,20,450,470
,27,,4,4
,28,,500,500
,30,,450,450
,31,,500,500
,32,,500,500
,34,500,6,506
,35,,20,20
,36,,450,450
,37,20,,20
,38,20,500,520
,41,20,20,40
,43,,20,20
,44,,500,500
,45,20,20,40
,46,,20,20
,47,,20,20
,49,20,,20
,51,20,20,40
,53,,20,20
,56,20,,20
,58,20,,20
,60,20,,20
,87,20,,20
body,Olho,,,
,6,,20,20
,11,,500,500
,12,,500,500
,13,,20,20
,14,20,5,25
,15,20,450,470
,16,20,4,24
,17,20,450,470
,18,,6,6
,19,20,20,40
,20,,20,20
,21,,500,500
,22,,20,20
,23,,450,450
,24,,500,500
,26,,20,20
,27,,500,500
,29,,20,20
,31,,20,20
,33,,500,500
,38,,20,20
,42,,20,20
,43,,2000,2000
,52,20,,20
,68,20,,20
body,Tronco,,,
,10,,450,450
,13,20,20,40
,14,500,500,1000
,15,,20,20
,17,,500,500
,19,20,20,40
,23,,20,20
,25,,20,20
,34,,20,20
,35,20,,20
,39,20,,20
,41,,20,20
,57,,20,20
,69,,20,20
local,Passeio,,,18150
body,Cabeca,,,
,0,20,,20
,1,20,,20
,2,,500,500
,3,20,20,40
,4,20,20,40
,6,,20,20
,9,,20,20
,12,,20,20
,16,,20,20
,17,20,20,40
,18,,500,500
,19,20,,20
,20,,500,500
,21,,20,20
,22,,20,20
,24,,20,20
,26,,20,20
,28,,500,500
,30,,500,500
,31,,20,20
,32,,20,20
,33,,20,20
,37,20,20,40
,38,,450,450
,40,,500,500
,41,,20,20
,42,,500,500
,43,,500,500
,44,20,,20
,45,,20,20
,46,20,500,520
,47,500,20,520
,48,20,20,40
,49,,500,500
,50,,20,20
,51,450,,450
,52,,20,20
,53,,20,20
,54,,500,500
,55,20,20,40
,56,450,,450
,57,,20,20
,59,,20,20
,60,,500,500
,62,500,500,1000
,63,500,450,950
,65,20,500,520
,66,,450,450
,67,20,450,470
,68,,20,20
,70,20,,20
,71,450,20,470
,72,500,450,950
,73,20,,20
,74,,20,20
,75,20,450,470
,76,20,500,520
,77,500,20,520
,78,20,500,520
,79,20,20,40
,80,500,450,950
,81,20,450,470
,82,20,20,40
,84,,20,20
,85,500,20,520
,86,20,,20
,89,20,20,40
,91,500,,500
,92,20,,20
,93,20,,20
,94,20,,20
month,Fevereiro,38419,59147,97566
local,Escola,35118,56127,91245
body,M達o,,,
,0,,20,20
,1,20,20,40
,2,,450,450
,3,,20,20
,4,20,450,470
,5,,20,20
,6,20,500,520
,7,,450,450
,8,,20,20
,9,,450,450
,10,20,500,520
,11,20,500,520
,12,,20,20
,13,,500,500
,14,,4,4
,15,20,500,520
,17,20,20,40
,19,,450,450
,20,20,450,470
,23,,20,20
,24,,500,500
,25,20,,20
,27,,500,500
,28,,20,20
,29,,20,20
,30,,20,20
,32,,500,500
,33,20,,20
,35,20,,20
,36,20,,20
,37,,500,500
,38,,500,500
,39,,20,20
,40,,500,500
,41,20,500,520
,42,,20,20
,43,20,500,520
,44,20,20,40
,46,500,20,520
,47,,450,450
,48,20,500,520
,49,20,20,40
,50,,500,500
,51,20,20,40
,52,500,4,504
,53,20,500,520
,54,20,,20
,55,20,500,520
,56,20,500,520
,57,20,500,520
,58,,20,20
,59,,450,450
,60,,500,500
,62,,20,20
,63,,500,500
,64,20,,20
,65,,20,20
,66,500,500,1000
,67,,20,20
,68,450,450,900
,69,,450,450
,70,,500,500
,71,20,500,520
,72,500,500,1000
,73,20,500,520
,74,20,5,25
,75,20,4,24
,76,20,20,40
,77,20,450,470
,78,450,450,900
,79,500,,500
,80,450,4,454
,81,20,450,470
,82,20,4,24
,83,20,4,24
,84,4,20,24
,85,20,,20
,86,20,500,520
,87,,20,20
,89,500,20,520
,90,20,,20
,91,,20,20
,92,500,,500
,93,,20,20
,94,,20,20
,100,,20,20
body,M達o,,,
,4,,20,20
,27,,20,20
,49,20,,20
,66,,20,20
,67,20,,20
body,Pe,,,
,2,20,450,470
,3,,500,500
,4,20,20,40
,5,500,5,505
,6,450,500,950
,7,20,,20
,8,450,20,470
,9,450,5,455
,10,20,6,26
,11,450,5,455
,12,500,7,507
,13,4,5,9
,14,20,7,27
,15,20,200,220
,16,5,30,35
,17,500,8,508
,18,20,4,24
,19,450,5,455
,20,5,500,505
,21,500,7,507
,22,500,5,505
,23,,4,4
,24,20,20,40
,25,20,7,27
,26,450,4,454
,27,,4,4
,28,500,5,505
,29,450,450,900
,30,20,6,26
,31,500,500,1000
,32,,20,20
,33,20,500,520
,34,20,5,25
,35,20,20,40
,36,500,500,1000
,37,500,500,1000
,38,500,,500
,39,500,450,950
,40,500,450,950
,41,500,5,505
,42,450,,450
,43,5,20,25
,44,450,5,455
,45,450,450,900
,46,20,450,470
,47,,500,500
,48,4,4,8
,49,500,4,504
,50,20,5,25
,51,4,500,504
,52,500,450,950
,53,6,4,10
,54,20,500,520
,55,20,,20
,56,20,450,470
,57,5,450,455
,58,,500,500
,59,7,450,457
,60,8,500,508
,61,450,,450
,62,450,500,950
,63,20,,20
,64,500,500,1000
,65,5,7,12
,66,5,500,505
,67,20,500,520
,68,450,500,950
,69,4,,4
,70,450,4,454
,71,7,20,27
,72,450,4,454
,73,450,4,454
,74,450,20,470
,75,4,450,454
,76,7,7,14
,77,450,450,900
,78,20,,20
,79,6,6,12
,80,4,500,504
,81,5,500,505
,82,,500,500
,83,500,500,1000
,84,20,500,520
,89,20,,20
,91,20,,20
,92,,20,20
,94,20,,20
body,Olho,,,
,3,20,20,40
,4,20,500,520
,8,20,450,470
,9,,20,20
,11,,500,500
,12,,20,20
,13,20,20,40
,14,20,5,25
,15,500,500,1000
,16,500,450,950
,17,,20,20
,18,500,5,505
,19,4,6,10
,20,,4,4
,21,,450,450
,22,4,,4
,23,500,20,520
,25,20,500,520
,26,500,4,504
,27,,20,20
,28,20,500,520
,29,,450,450
,30,,450,450
,31,20,,20
,32,,4,4
,34,500,20,520
,35,,500,500
,36,20,20,40
,37,,500,500
,38,4,450,454
,39,500,,500
,41,,500,500
,42,500,20,520
,43,20,,20
,44,,500,500
,45,,500,500
,46,500,450,950
,47,500,450,950
,48,20,450,470
,49,20,450,470
,50,20,500,520
,51,20,450,470
,52,450,500,950
,53,500,450,950
,54,20,500,520
,55,500,500,1000
,56,450,4,454
,57,4,20,24
,58,500,5,505
,59,500,20,520
,60,500,6,506
,61,500,5,505
,62,20,500,520
,63,,450,450
,64,500,5,505
,65,20,20,40
,66,450,7,457
,67,20,450,470
,68,4,450,454
,69,20,450,470
,70,450,5,455
,71,5,20,25
,72,20,20,40
,73,20,500,520
,74,20,450,470
,75,450,20,470
,76,20,20,40
,77,6,,6
,78,5,500,505
,79,500,500,1000
,80,,20,20
,81,450,500,950
,82,4,,4
,83,20,500,520
,84,20,20,40
,85,4,,4
,86,20,20,40
,87,20,500,520
,88,,500,500
,94,20,,20
,95,,20,20
local,Lar,3301,3020,6321
body,Pe,,,
,41,200,,200
body,Olho,,,
,80,23,,23
body,Tronco,,,
,50,20,,20
body,Cabeca,,,
,1,20,,20
,2,20,20,40
,3,,20,20
,4,,500,500
,5,23,20,43
,24,20,,20
,30,33,,33
,38,20,,20
,40,20,,20
,43,20,20,40
,47,500,,500
,49,,20,20
,57,20,20,40
,58,20,,20
,59,,20,20
,62,,20,20
,63,20,,20
,65,20,,20
,71,,20,20
,72,20,,20
,73,,20,20
,74,,500,500
,76,20,20,40
,77,,20,20
,78,,20,20
,79,45,,45
,88,20,,20
body,Pe,,,
,8,20,,20
,9,20,,20
,11,20,,20
,16,500,,500
,22,20,,20
,25,,20,20
,33,20,,20
,34,20,,20
,42,20,,20
,43,20,,20
,45,,20,20
,46,,20,20
,48,20,,20
,49,55,,55
,54,20,,20
,56,500,,500
,58,20,,20
,60,20,,20
,61,20,,20
,63,,20,20
,64,,20,20
,65,,20,20
,68,20,,20
,69,20,,20
,70,20,500,520
,71,500,,500
,73,20,,20
,74,20,,20
,75,20,,20
,78,20,,20
,84,20,,20
,86,20,,20
,87,20,,20
body,Olho,,,
,23,,20,20
,42,20,,20
,43,,500,500
,44,,500,500
,55,20,,20
,58,20,,20
,59,,20,20
,61,,20,20
,62,20,,20
,63,,20,20
,64,20,,20
,68,,20,20
,70,,20,20
,72,,20,20
,82,39,,39
,83,43,,43
